"t_utc","duration_ms","status_code","success","response_bytes","input_tokens","output_tokens","total_tokens","retries","retry_wait_ms","error"
"2026-07-18T12:50:55.2357889Z","3572,3912","200","True","882",,,,"0","0",""
"2026-07-18T12:51:10.3231163Z","3369,118","200","True","882",,,,"0","0",""
"2026-07-18T12:51:24.9840832Z","3130,8509","200","True","882",,,,"0","0",""
"2026-07-18T12:51:39.0944657Z","3268,4011","200","True","882",,,,"0","0",""
"2026-07-18T12:51:53.0942264Z","3485,6549","200","True","882",,,,"0","0",""
"2026-07-18T12:52:08.1787439Z","3556,5402","200","True","882",,,,"0","0",""
"2026-07-18T12:52:22.6596603Z","3270,8483","200","True","882",,,,"0","0",""
"2026-07-18T12:52:37.3028854Z","3032,6348","200","True","882",,,,"0","0",""
"2026-07-18T12:52:51.6837299Z","2908,9692","200","True","882",,,,"0","0",""
"2026-07-18T12:53:06.2644832Z","4020,056","200","True","882",,,,"0","0",""
"2026-07-18T12:53:21.2989253Z","3284,9872","200","True","882",,,,"0","0",""
"2026-07-18T12:53:36.0561379Z","3397,8324","200","True","882",,,,"0","0",""
"2026-07-18T12:53:50.7279204Z","3100,107","200","True","882",,,,"0","0",""
"2026-07-18T12:54:04.8515892Z","3584,4192","200","True","882",,,,"0","0",""
"2026-07-18T12:54:19.5646552Z","3244,1927","200","True","882",,,,"0","0",""
"2026-07-18T12:54:33.8256865Z","2978,8523","200","True","882",,,,"0","0",""
"2026-07-18T12:54:47.8845589Z","3169,2903","200","True","882",,,,"0","0",""
"2026-07-18T12:55:02.7281751Z","3187,6763","200","True","882",,,,"0","0",""
"2026-07-18T12:55:17.0370494Z","3115,433","200","True","882",,,,"0","0",""
"2026-07-18T12:55:32.0494556Z","3223,9517","200","True","882",,,,"0","0",""
"2026-07-18T12:55:46.5990741Z","3256,991","200","True","882",,,,"0","0",""
"2026-07-18T12:56:00.8999574Z","3308,3755","200","True","882",,,,"0","0",""
"2026-07-18T12:56:15.3388305Z","3681,4496","200","True","882",,,,"0","0",""
"2026-07-18T12:56:30.5329893Z","3668,171","200","True","882",,,,"0","0",""
"2026-07-18T12:56:45.0366147Z","3167,7246","200","True","882",,,,"0","0",""
"2026-07-18T12:56:59.4000564Z","3314,0864","200","True","882",,,,"0","0",""
"2026-07-18T12:57:14.0619552Z","3580,4921","200","True","882",,,,"0","0",""
"2026-07-18T12:57:28.8119895Z","3452,8805","200","True","882",,,,"0","0",""
"2026-07-18T12:57:43.8065628Z","3546,7845","200","True","882",,,,"0","0",""
"2026-07-18T12:57:59.4236468Z","3250,5765","200","True","882",,,,"0","0",""
"2026-07-18T12:58:13.7400777Z","3195,0724","200","True","882",,,,"0","0",""
"2026-07-18T12:58:27.9655528Z","3303,9205","200","True","882",,,,"0","0",""
"2026-07-18T12:58:42.7875623Z","3307,749","200","True","882",,,,"0","0",""
"2026-07-18T12:58:57.9128836Z","3482,8632","200","True","882",,,,"0","0",""
"2026-07-18T12:59:12.8724654Z","3183,8985","200","True","882",,,,"0","0",""
"2026-07-18T12:59:27.1232817Z","2950,7821","200","True","882",,,,"0","0",""
"2026-07-18T12:59:40.9282190Z","3055,9286","200","True","882",,,,"0","0",""
"2026-07-18T12:59:55.2225575Z","3528,7073","200","True","882",,,,"0","0",""
"2026-07-18T13:00:10.6002072Z","3491,8786","200","True","882",,,,"0","0",""
"2026-07-18T13:00:25.2789036Z","3776,5097","200","True","882",,,,"0","0",""
"2026-07-18T13:00:40.3301562Z","3181,6744","200","True","882",,,,"0","0",""
"2026-07-18T13:00:55.2868221Z","3446,9903","200","True","882",,,,"0","0",""
"2026-07-18T13:01:09.6006977Z","3372,6286","200","True","882",,,,"0","0",""
"2026-07-18T13:01:23.7561787Z","3259,9513","200","True","882",,,,"0","0",""
"2026-07-18T13:01:38.1025141Z","3214,4381","200","True","882",,,,"0","0",""
"2026-07-18T13:01:52.7291240Z","3098,6815","200","True","882",,,,"0","0",""
"2026-07-18T13:02:06.9604466Z","3463,1739","200","True","882",,,,"0","0",""
"2026-07-18T13:02:21.7269118Z","3162,7082","200","True","882",,,,"0","0",""
"2026-07-18T13:02:35.9766099Z","3389,9518","200","True","882",,,,"0","0",""
"2026-07-18T13:02:50.4010473Z","3434,878","200","True","882",,,,"0","0",""
"2026-07-18T13:03:04.8574519Z","3671,297","200","True","882",,,,"0","0",""
"2026-07-18T13:03:19.4752418Z","2900,7327","200","True","882",,,,"0","0",""
"2026-07-18T13:03:33.5759194Z","3227,4235","200","True","882",,,,"0","0",""
"2026-07-18T13:03:47.7469039Z","3044,1969","200","True","882",,,,"0","0",""
"2026-07-18T13:04:01.9242911Z","4061,622","200","True","882",,,,"0","0",""
"2026-07-18T13:04:17.0022116Z","3344,1253","200","True","882",,,,"0","0",""
"2026-07-18T13:04:31.6349295Z","2994,9686","200","True","882",,,,"0","0",""
"2026-07-18T13:04:45.8801652Z","3291,177","200","True","882",,,,"0","0",""
"2026-07-18T13:05:01.4332804Z","3650,0695","200","True","882",,,,"0","0",""
"2026-07-18T13:05:16.2115258Z","2937,3223","200","True","882",,,,"0","0",""
"2026-07-18T13:05:30.2096321Z","2984,929","200","True","882",,,,"0","0",""
"2026-07-18T13:05:45.0667448Z","3410,7395","200","True","882",,,,"0","0",""
"2026-07-18T13:05:59.9372932Z","4587,0266","200","True","882",,,,"0","0",""
"2026-07-18T13:06:15.9689561Z","3572,624","200","True","882",,,,"0","0",""
"2026-07-18T13:06:31.2469192Z","3446,1444","200","True","882",,,,"0","0",""
"2026-07-18T13:06:45.6093428Z","2855,872","200","True","882",,,,"0","0",""
"2026-07-18T13:06:59.5349230Z","3136,5311","200","True","882",,,,"0","0",""
"2026-07-18T13:07:13.8281327Z","3247,9749","200","True","882",,,,"0","0",""
"2026-07-18T13:07:28.3201163Z","3374,9106","200","True","882",,,,"0","0",""
"2026-07-18T13:07:42.8777081Z","10093,8367","200","True","882",,,,"0","0",""
"2026-07-18T13:08:04.3995647Z","3512,2356","200","True","882",,,,"0","0",""
"2026-07-18T13:08:18.7872724Z","3048,221","200","True","882",,,,"0","0",""
